Date,Amount
2014-04-07,35
2014-04-08,35
2014-04-09,30
2014-04-10,40
2014-04-11,30

2014-04-14,35
2014-04-15,35
2014-04-16,30
2014-04-17,30

2014-04-22,22
2014-04-23,23
2014-04-24,20
2014-04-25,20

2014-05-05,25
2014-05-06,25
2014-05-07,25
2014-05-08,22
2014-05-09,15

2014-05-12,45
2014-05-13,45
2014-05-14,45
2014-05-15,45
2014-05-16,30

2014-05-19,45
2014-05-20,40
2014-05-21,50
2014-05-22,45
2014-05-23,30

2014-05-26,50
2014-05-27,45
2014-05-28,45
2014-05-29,45
2014-05-30,15

2014-06-02,50
2014-06-03,55
2014-06-04,55
2014-06-05,60
2014-06-06,25

2014-06-16,60
2014-06-17,60
2014-06-18,30

2014-06-23,45
2014-06-24,45
2014-06-25,45
2014-06-26,45
2014-06-27,30

2014-06-30,60
2014-07-01,60
2014-07-02,60
2014-07-03,60
2014-07-04,40

2014-07-07,40
2014-07-08,40
2014-07-09,20
2014-07-10,20
2014-07-11,20

2014-07-14,40
2014-07-15,40
2014-07-16,20
2014-07-17,20
2014-07-18,20

2014-07-21,40
2014-07-22,20
2014-07-23,20
2014-07-24,20
2014-07-25,20

2014-07-28,40
2014-07-29,40
2014-07-30,40
2014-07-31,40
2014-08-01,20

2014-08-04,60
2014-08-05,60
2014-08-06,40
2014-08-07,40
2014-08-08,40

2014-08-11,60
2014-08-12,60
2014-08-13,60
2014-08-14,60
2014-08-15,60

2014-08-18,50
2014-08-19,40
2014-08-20,35
2014-08-21,50
2014-08-22,15

2014-10-06,45
2014-10-07,40
2014-10-08,40
2014-10-09,35
2014-10-10,30

2014-10-13,40
2014-10-14,35
2014-10-15,40
2014-10-16,30
2014-10-17,40

2014-10-20,40
2014-10-21,40
2014-10-22,40
2014-10-23,20
2014-10-24,20

2014-10-27,60
2014-10-28,60
2014-10-29,40
2014-10-30,40
2014-10-31,20

2014-11-03,60
2014-11-04,40
2014-11-05,40
2014-11-06,30
2014-11-07,45

2014-11-10,50
2014-11-11,50
2014-11-12,45
2014-11-13,45
2014-11-14,20

2014-11-17,50
2014-11-18,50
2014-11-19,50
2014-11-20,50

2014-12-01,55
2014-12-02,50
2014-12-03,55
2014-12-04,25

2014-12-08,55
2014-12-09,55
2014-12-10,55
2014-12-11,45
2014-12-12,50

2014-12-15,55
2014-12-16,50
2014-12-17,55
2014-12-18,40
2014-12-19,50

2015-01-07,75
2015-01-08,75
2015-01-09,50

2015-01-12,75
2015-01-13,80
2015-01-14,65
2015-01-15,75
2015-01-16,45

2015-01-19,50
2015-01-20,45
2015-01-21,45
2015-01-22,45
2015-01-23,43

2015-01-26,70
2015-01-27,60
2015-01-28,60
2015-01-29,60
2015-01-30,70

2015-02-02,35
2015-02-03,60
2015-02-04,55
2015-02-05,60
2015-02-06,40

2015-02-09,80
2015-02-10,80
2015-02-11,80
2015-02-12,60
2015-02-13,30

2015-02-17,85
2015-02-18,100
2015-02-19,75
2015-02-20,45

2015-02-23,75
2015-02-24,75
2015-02-25,75
2015-02-26,50
2015-02-27,40

2015-03-02,50
2015-03-03,75
2015-03-04,50
2015-03-05,50
2015-03-06,50

2015-03-09,100
2015-03-10,75
2015-03-11,75
2015-03-12,75
2015-03-13,75

2015-03-16,50
2015-03-17,50
2015-03-18,50
2015-03-19,75
2015-03-20,25

2015-03-23,55
2015-03-24,50
2015-03-25,50
2015-03-26,25
2015-03-27,30

2015-04-07,75
2015-04-08,75
2015-04-09,75
2015-04-10,75

2015-04-13,75
2015-04-14,75
2015-04-15,75
2015-04-16,75

2015-04-20,100

2015-04-27,75
2015-04-28,90
2015-04-29,90
2015-04-30,90

2015-05-04,90
2015-05-05,120
2015-05-06,90
2015-05-07,80
2015-05-08,120

2015-05-11,90
2015-05-12,60
2015-05-13,60

2015-05-18,90
2015-05-19,90
2015-05-20,90
2015-05-21,90
2015-05-22,30

2015-06-08,80
2015-06-09,60
2015-06-10,90
2015-06-11,50
2015-06-12,30

2015-06-15,60
2015-06-16,60
2015-06-17,60
2015-06-18,90
2015-06-19,60

2015-06-22,90
2015-06-23,90
2015-06-24,120
2015-06-25,60
2015-06-26,60

2015-06-29,60
2015-06-30,60
2015-07-01,60
2015-07-02,60
2015-07-03,60

2015-07-06,60
2015-07-07,60
2015-07-08,60
2015-07-09,30
2015-07-10,30

2015-07-16,70
2015-07-17,70

2015-07-20,70
2015-07-21,65
2015-07-22,65
2015-07-23,35
2015-07-24,35

2015-10-04,80
2015-10-05,70
2015-10-06,50
2015-10-07,50
2015-10-08,50
2015-10-09,50
2015-10-11,30
2015-10-12,50
2015-10-13,70
2015-10-15,80
2015-10-16,80
2015-10-17,50
2015-10-24,80
2015-10-26,40
2015-10-27,60
2015-11-08,60
2015-11-09,90
2015-11-10,60
2015-11-11,60
2015-11-12,55
2015-11-15,100
2015-11-16,40
2015-11-20,80
2015-11-22,40
2015-11-23,70
2015-11-24,30
2015-11-26,40
2015-11-28,100
2015-11-30,60
2015-12-01,30
2015-12-03,40
2015-12-07,60
2015-12-08,40
2015-12-09,30
2015-12-10,70
2015-12-11,30
2015-12-12,40
2015-12-15,30
2015-12-16,70
2015-12-18,40
2015-12-19,30

2016-01-03,60
2016-01-04,60
2016-01-05,30
2016-01-06,35
2016-01-07,50
2016-01-08,60
2016-01-09,30
2016-01-11,55
2016-01-12,30
2016-01-14,50
2016-01-15,30
2016-01-17,30
2016-01-18,50
2016-01-19,50
2016-01-20,30
2016-01-21,25
2016-01-24,50
2016-01-25,30
2016-01-26,30
2016-01-28,30
2016-01-30,50
2016-01-31,30
2016-02-01,30
